fee_mode,lag,acf
static,1,-0.45761136483441206
static,2,-0.01673385411792904
static,3,-0.021813832397656607
static,4,0.033352142243308035
static,5,-0.011326479478429007
static,6,-0.005057095495440329
static,7,0.0037117121236188767
static,8,-0.006951371733072965
static,9,0.006591462461962246
static,10,-0.013653117084557586
static,11,0.021413512703003727
static,12,-0.010955808891756753
static,13,0.0024328232833834233
static,14,0.007622014935072795
static,15,-0.033985056883839
toxicity,1,-0.023818627932038892
toxicity,2,-0.026747956359440897
toxicity,3,-0.07204791010575298
toxicity,4,-0.07212013311683668
toxicity,5,-0.06021088843777354
toxicity,6,-0.042746735949928893
toxicity,7,-0.040387280288660836
toxicity,8,-0.0008953109196723243
toxicity,9,-0.02622361542614961
toxicity,10,-0.02970359061034769
toxicity,11,-0.007217948927958274
toxicity,12,-0.0016064453667921114
toxicity,13,-0.01479825295462734
toxicity,14,-0.02277514537703533
toxicity,15,0.007179142065603359
