fee_mode,block,cex_price,dex_price,band_low,band_high,fee
static,5200,1957.6656146528653,1957.9012688801715,1957.394504400879,1958.1776188176914,0.0001
static,5201,1958.3539615859447,1957.9012688801715,1957.274120679332,1958.0571869330238,0.0001
static,5202,1958.8688863203804,1957.9623299567902,1957.9623299567904,1958.7456715492583,0.0001
static,5203,1958.946620272517,1957.9193598251052,1958.4771517165768,1959.2606992789404,0.0001
static,5204,1959.0888025781485,1959.4002005763189,1958.5548701234775,1959.3384487794224,0.0001
static,5205,1960.217239292953,1959.4002005763189,1958.6970239954912,1959.4806595243588,0.0001
static,5206,1960.833249181048,1959.8620312700389,1959.8252350455193,1960.6093219490774,0.0001
static,5207,1960.581058489955,1960.843107781426,1960.4411217439554,1961.2254550514713,0.0001
static,5208,1958.96826464848,1960.9425684380178,1960.1889814859574,1960.9732139171958,0.0001
static,5209,1958.9252333053123,1958.209765815315,1958.576510170998,1959.3600974846934,0.0001
static,5210,1958.7661696485789,1958.5479286666123,1958.5334874332384,1959.317057534396,0.0001
static,5211,1956.8402602234098,1958.4039972337,1958.3744555860555,1959.15796206175,0.0001
static,5212,1956.4384902958454,1956.9142390793677,1956.4489313042573,1957.2316674161737,0.0001
static,5213,1955.6978617874026,1956.498382841977,1956.0472417226438,1956.8298171265876,0.0001
static,5214,1953.3820074564505,1955.5324723775645,1955.3067613250914,1956.0890404776292,0.0001
static,5215,1953.5209346284485,1953.7727229294894,1952.9913701186929,1953.7727229294892,0.0001
static,5216,1952.811569452368,1953.7727229294894,1953.1302695080349,1953.9116778897003,0.0001
static,5217,1953.0747600930831,1953.2021708263956,1952.421046190804,1953.2021708263958,0.0001
static,5218,1953.872429770947,1953.2021708263956,1952.684184198654,1953.4654141105034,0.0001
static,5219,1953.040696008964,1953.3687718205356,1953.481694358534,1954.263243338258,0.0001
static,5220,1954.0010008852194,1954.9189742409194,1952.6501269266703,1953.4313432128863,0.0001
static,5221,1955.3419020755312,1951.5588804265979,1953.6102397611546,1954.391840169325,0.0001
static,5222,1955.268025157839,1953.8449112257754,1954.9508727980437,1955.7330095666953,0.0001
static,5223,1952.814347141639,1954.877010654258,1954.877010654258,1955.6591178721421,0.0001
static,5224,1952.4465376974565,1952.3742315014154,1952.4238233245924,1953.2049490712602,0.0001
static,5225,1953.1599045158182,1952.3742315014154,1952.0560874349433,1952.837066057832,0.0001
static,5226,1954.2649299876664,1952.6182394597372,1952.7693115942072,1953.550575563826,0.0001
static,5227,1954.3983260617754,1953.8741160830598,1953.8741160830596,1954.6558220628713,0.0001
static,5228,1951.9241647070398,1954.056003615029,1954.0074854806212,1954.7892448188634,0.0001
static,5229,1951.9929247778182,1952.3145885823687,1951.5338189086783,1952.3145885823687,0.0001
static,5230,1952.5776059300879,1952.1927953725926,1951.6025652288174,1952.3833624065367,0.0001
static,5231,1950.6607395812161,1952.1927953725926,1952.1871294565492,1952.9681605067315,0.0001
static,5232,1950.9207523055838,1951.0509107462487,1950.270646442614,1951.0509107462487,0.0001
static,5233,1950.9231905169509,1951.0509107462487,1950.5306071696364,1951.3109754783623,0.0001
static,5234,1951.0972459929708,1951.319874983111,1950.5330448934099,1951.31341417742,0.0001
static,5235,1952.6255317740006,1952.7464441383552,1950.7070655618154,1951.4875044680168,0.0001
static,5236,1952.639495398315,1952.8442400315337,1952.2350457162515,1953.0160959367715,0.0001
static,5237,1952.4800715892236,1952.3449439673789,1952.2490065481204,1953.0300623540902,0.0001
static,5238,1950.6541609657022,1952.3449439673789,1952.0896146206028,1952.870606657048,0.0001
static,5239,1950.8343523345566,1949.87258898555,1950.2640691426916,1951.0443308148801,0.0001
static,5240,1952.0503646208613,1951.2578239400993,1950.4442244768754,1951.2245582256126,0.0001
static,5241,1952.1134331230523,1951.6599935850404,1951.6599935850406,1952.4408137386972,0.0001
static,5242,1952.5022553516037,1954.3638449470873,1951.7230494747926,1952.5038948558504,0.0001
static,5243,1951.4161869692844,1952.8927948566245,1952.111793946674,1952.8927948566245,0.0001
static,5244,1950.9012816781603,1951.7352306777648,1951.025942756312,1951.8065092389052,0.0001
static,5245,1951.218165018959,1950.983989994339,1950.511140435949,1951.2915009564238,0.0001
static,5246,1951.727948348562,1949.4301546454337,1950.8279604064167,1951.608447680229,0.0001
static,5247,1951.0699580000444,1951.337641789548,1951.3376417895481,1952.1183329766945,0.0001
static,5248,1951.409182625939,1951.337641789548,1950.6797830259418,1951.460211016946,0.0001
static,5249,1951.6717611355298,1951.337641789548,1951.0189398136952,1951.799503494551,0.0001
static,5250,1951.547217772523,1952.1924791202252,1951.281465812835,1952.0621345250959,0.0001
static,5251,1951.5591864235937,1951.8742402592873,1951.1569473560103,1951.9375662509253,0.0001
static,5252,1952.2674568591224,1955.2767792608897,1951.1689136135901,1951.9495372959655,0.0001
static,5253,1954.385269431417,1952.579106796896,1951.8770424091956,1952.6579493997483,0.0001
static,5254,1953.0043864559727,1950.9073668892513,1953.994431461328,1954.7761855769177,0.0001
static,5255,1955.7787634896504,1952.1422674050543,1952.6138246348637,1953.3950263972579,0.0001
static,5256,1956.2889968784777,1955.224933328168,1955.3876468486164,1956.1699583618356,0.0001
static,5257,1956.0341541083696,1955.8977782009702,1955.89777820097,1956.6802938075464,0.0001
static,5258,1956.429010925348,1954.812966657256,1955.6429863943192,1956.4254000637868,0.0001
static,5259,1956.465043305227,1955.80133221263,1956.0377642478306,1956.8203358600265,0.0001
