block_time,static_active_lps,static_passive_lps,static_jiter,toxicity_active_lps,toxicity_passive_lps,toxicity_jiter
2,2.19,2.12,-6.68,1.08,1.07,0.57
3,2.12,2.08,-6.78,1.00,0.99,0.58
4,2.04,1.97,-7.69,0.93,0.92,0.59
5,1.94,1.87,-8.39,0.87,0.85,0.58
6,1.82,1.74,-9.28,0.82,0.80,0.57
7,1.70,1.62,-10.10,0.77,0.75,0.56
8,1.59,1.52,-10.92,0.73,0.71,0.55
9,1.48,1.40,-11.65,0.70,0.68,0.54
10,1.37,1.28,-12.55,0.67,0.65,0.54
11,1.28,1.20,-13.35,0.64,0.62,0.53
12,1.20,1.12,-14.10,0.62,0.60,0.52
13,1.12,1.04,-14.92,0.60,0.58,0.52
14,1.06,0.97,-15.44,0.58,0.57,0.50
15,1.00,0.89,-16.27,0.57,0.56,0.50
16,0.93,0.84,-17.10,0.56,0.54,0.49
