cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,331773,2.478818925015684,21.631724025807365,2.242047820500353,-6.839183492733032,0.16773425762183838,4.096969231332094,13.310956240713239
passive,2,332042,2.2630942601899076,5.096700214522481,2.2053407583639792,-6.857293978716914,0.1466265166978263,4.015614169954765,12.747943047249297
jiter,2,1,-5.908287401914111,0.0,-5.908287401914111,-5.908287401914111,-5.908287401914111,-5.908287401914111,-5.908287401914111
active,3,382473,2.3723195209756183,290.980277438889,2.310589865246662,-8.345239167411213,-0.13125106315076568,4.788412845957201,15.315969545849974
passive,3,382812,2.4091744226219944,6.142779173560604,2.256562659654713,-8.460705773032332,-0.1665549544160502,4.67440105722864,14.64280982008921
jiter,3,3,-5.398464034924074,1.7734720213325341,-5.414446404148979,-7.455077856642599,-6.48846295809299,-4.31645629636761,-3.328265199364379
active,4,415577,110.75509993418359,48908.90472835518,2.348404548958105,-9.749662305663035,-0.3593351168678758,5.323218361746051,17.07245361102268
passive,4,415907,2.513025730799364,7.1959005033216705,2.2726259123615886,-9.992113528585966,-0.40600812953844123,5.184059482156348,16.350194519714165
jiter,4,10,-10.395108904776304,4.496992787828895,-10.39355573888023,-16.905668656370278,-14.192932691897955,-8.076255780245631,-3.448717837772145
active,5,438461,65.69231783068291,40717.61274091447,2.391804072033134,-10.72488869256497,-0.5337452261889986,5.860217435667174,18.82943481113086
passive,5,438808,2.650127382320396,8.000311933428199,2.297735888918722,-11.159383237127635,-0.5964456887098115,5.705933776370675,17.95306173061838
jiter,5,11,-11.422669534326543,11.526731618246695,-7.483496095542409,-36.58508128482218,-15.12924294536812,-3.0478229983750236,-0.7879524429658252
active,6,454964,315.29011407069424,209349.15892441303,2.4242890488809348,-11.722491593773203,-0.7085334338559677,6.318292118226575,20.592451363658796
passive,6,455311,2.775786005726853,11.468558265217073,2.319916815185111,-12.433983568000041,-0.7889844174514724,6.138818268294683,19.589355099206664
jiter,6,6,-7.980017508507846,4.780337412271697,-10.619638720772365,-12.13493353529606,-11.434454441705105,-4.9480444211539165,-0.1031111205456598
active,7,466549,3.2267402369415987,991.5083536815657,2.4553130261152765,-12.649021221708585,-0.8300438762312877,6.73987387974977,22.026823278693094
passive,7,466769,2.925631145740453,22.047234954665377,2.3476715453701704,-13.491282504105879,-0.9256424140224628,6.56412918760019,21.209462986226004
jiter,7,22,-8.746399554165796,9.878733698241149,-6.257489420053965,-31.828403485423472,-11.994408826667813,-2.2149228368476974,-0.23581552387938443
active,8,474945,16.299266470666847,8100.423805474056,2.4914632039901927,-13.444532211005008,-0.9813824067248931,7.119528631939578,23.556102959607834
passive,8,475069,3.0653305843534326,19.37336171317841,2.371728435375598,-14.675995809337552,-1.0978931925164208,6.948007437196544,22.827992160606257
jiter,8,31,-12.376898883588252,9.648473807833465,-11.404883861294849,-33.39297051821635,-15.434970573230448,-6.269459128329495,-1.0029713175546413
active,9,481357,5.0640432588436255,709.1660804210925,2.531930326784442,-14.143902132999587,-1.0831644738936002,7.500110337112106,24.866761071594116
passive,9,481231,3.240597437534246,26.496515146708663,2.3903821863428205,-15.75146941621651,-1.2244698013028579,7.338208772484435,24.467538389224767
jiter,9,30,-16.689358201696443,13.33872585908344,-12.003840193573978,-53.71759714098823,-21.26151706823445,-7.856548600873354,-2.5737106780054084
active,10,485745,7.340466768894915,10407.379317564704,2.569876931497495,-14.789620349671695,-1.1828532302648798,7.850358440771061,26.292940525245545
passive,10,485513,3.4600780571468253,32.02629514822985,2.4207850675420217,-16.692836726456246,-1.34341140197868,7.715773621260058,26.14019996134033
jiter,10,40,-15.050124426421878,11.99519179974988,-12.07461784701278,-41.76511440402842,-17.45868324699826,-8.864480917214863,-0.1464045309031165
active,11,489118,5.032815562524471,738.6481965603111,2.5646872965284815,-15.353537058661828,-1.2950674536598952,8.11769293234635,27.359917572390348
passive,11,488704,3.5214140622709516,28.293334782656924,2.4172305656567934,-17.62649912677289,-1.4911761164551103,7.995587019606072,27.588975834419387
jiter,11,34,-17.812661052761104,25.046421732987188,-10.768737082897228,-92.60793489243191,-16.253730332648335,-6.425136463497138,-1.5540676818056536
active,12,491780,4.101911808762983,2123.886365328983,2.6134510234796933,-16.02227013034008,-1.3770908903050145,8.47128184180822,28.76804056337057
passive,12,491417,3.689653587393262,86.76448175738697,2.455954773274101,-18.551556989204908,-1.586320157175446,8.370144676213364,29.162628831073462
jiter,12,48,-12.32967781220645,11.13962788279342,-9.610675224918339,-37.59631158227252,-16.410750172842803,-3.2811406091795012,0.14742036630334918
active,13,493433,57.23820572617638,36538.57964527059,2.6106546215301845,-16.664807404585375,-1.4775023039116737,8.702146034715538,29.766231284903036
passive,13,492980,4.107677874131588,63.640813162927806,2.463166199256035,-19.696021150946024,-1.7027366144764455,8.657407078119,31.1320136299035
jiter,13,51,-16.54023977086729,13.092208666114237,-15.05033991755385,-55.44338976953487,-19.458473192224496,-8.413684508608572,-0.9346126581479557
active,14,494984,-3.9875453284133062,37892.56809657101,2.6346725354854525,-17.27623335221691,-1.5505627690446857,9.019085075200678,31.01008823136755
passive,14,494558,4.312782622163494,88.6837719988745,2.4706862783744423,-20.64883132273107,-1.8219298081282633,8.991658272478608,32.60167536070735
jiter,14,55,-16.671975309299537,17.046557782186458,-9.836090335261607,-64.75474237770014,-21.22352824234435,-5.131277175156466,-0.8677388418282228
active,15,495962,-2.4762258078439614,7030.200707068286,2.6613792134695045,-17.65338845495879,-1.6252672266307682,9.200652687127963,31.730973392264584
passive,15,495586,4.51254579390986,166.42606209900367,2.485654456241737,-21.339835196638713,-1.9095660725243446,9.205657145951761,33.78222573679492
jiter,15,62,-16.097846314091203,13.146049661555486,-13.254905360679189,-54.957953278401156,-21.42814942192662,-8.342706725859923,-0.2437468180623067
active,16,496819,7.127153561444775,666.0000572637489,2.6513181655179014,-18.20885518363349,-1.7180910663263944,9.523413484507081,33.213098076327995
passive,16,496304,4.66569789273816,227.09385554675364,2.4744728425173395,-22.572531322537444,-2.0461948210891103,9.530433385839512,35.717835924807986
jiter,16,59,-22.144119398170762,18.880445107581032,-15.744870621618196,-76.79298481954756,-29.507782552571122,-9.469237327626573,-2.686942481684623
