cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,499950,0.031653225806556655,0.22526942379789358,4.958479573424768e-05,-0.0353302103341635,-1.8077095376156649e-09,0.011526696069985213,0.31377641322049665
passive,2,499950,0.0017491956214230704,0.05568359926918253,4.006474645224764e-06,-0.0030096083519884796,-5.684341886080802e-14,0.0008406304772856643,0.018888593665405125
jiter,2,1,-0.024553977914341094,0.0,-0.024553977914341094,-0.024553977914341094,-0.024553977914341094,-0.024553977914341094,-0.024553977914341094
active,3,499950,0.047261772119264245,0.2849267845051533,0.0009588028767975403,-0.06579802695602299,-3.128779582084462e-07,0.022991136211390956,0.4629207993219495
passive,3,499950,0.0020049116914573504,0.06046597359824897,5.57753213716704e-05,-0.004453430445599904,-5.32982664225301e-07,0.0012367524426516014,0.022090802263077632
jiter,3,3,-0.04754463654568671,0.02807795381740992,-0.049340660668426684,-0.07941680557423461,-0.0651702106188519,-0.0308170745338915,-0.01414584701280984
active,4,499950,0.06144177855289237,0.3511007275857136,0.002247359892632472,-0.09935018787146424,-2.9722152987687878e-06,0.0355957512618256,0.5985683046042608
passive,4,499950,0.0023560165120046004,0.06914727874600911,0.00011240520741284676,-0.006443002754590239,-3.888080904346225e-06,0.0016731431143434945,0.026888661951867107
jiter,4,10,-0.10998126540189075,0.12293447570116116,-0.024512891390891085,-0.3185069391366569,-0.22066459581184558,-0.008506627081954108,-0.005665714848735687
active,5,499950,0.0745478345750031,0.39760298505878094,0.003971869317829419,-0.13504633588382672,-0.00010843961789547317,0.04975438107581831,0.7251053965384944
passive,5,499950,0.002619016871749287,0.07315953183969055,0.00016915798156082515,-0.008273324256845908,-8.200922766605688e-06,0.0020584511908779968,0.03033189718630751
jiter,5,11,-0.09769052507000965,0.08250892241846455,-0.06213406352412214,-0.2521023870427701,-0.15626804874137845,-0.03514457281160044,-0.004791508037745652
active,6,499950,0.0855743135266568,0.44390964970434477,0.005660252240649675,-0.1711311170198064,-0.0006603942335905455,0.06273217305324282,0.8353792559552762
passive,6,499950,0.002973252767053704,0.08296413289007913,0.00022929510898401324,-0.011097448078205629,-3.210786830321055e-05,0.002539879548892239,0.036228302841761095
jiter,6,6,-0.05388925455006222,0.061786496686579824,-0.037504122355273575,-0.16918539427458973,-0.047571670555064983,-0.019450532929860553,0.00016916431578056128
active,7,499950,0.09686489854099754,0.4717934584740959,0.007738373674296915,-0.2098326458495953,-0.0013765840275701167,0.07699838623195768,0.9484798620171275
passive,7,499950,0.0032540820644887487,0.08341329669715059,0.0002928722129427186,-0.013796679913809996,-6.166635798374603e-05,0.0029868029523982664,0.04110406350037038
jiter,7,22,-0.12579088853872325,0.18349841976300932,-0.02723527238568116,-0.5608961790304361,-0.1826609413343504,-0.006134972406331037,4.198699485044805e-05
active,8,499950,0.10797107881849391,0.5174179975703127,0.009749095573800017,-0.2440889250561038,-0.002429957621856562,0.09152662270120752,1.0604031660857778
passive,8,499950,0.0036471626815413488,0.08360115688079711,0.00035075609121651077,-0.01674279441712083,-0.0001065798932341433,0.003464113840235757,0.04721660906002718
jiter,8,31,-0.12228636163955403,0.18671254014447164,-0.03634350954236743,-0.6258239846693319,-0.1134540457268706,-0.010366598408867746,-0.001819616165639646
