cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,288197,0.8347441759905214,13.888211893632427,1.080002206305643,-1.8509671331706063,0.4462325736605925,1.302146117786969,2.600307939134278
passive,2,288641,0.7411361345897403,1.3646265622457463,1.0701724060940316,-1.8450000627165217,0.43623222177040144,1.2827217549874224,2.4371343266527017
jiter,2,24718,0.023008728294367592,1.2029838944605968,0.5579550937140798,-2.064116125502527,-1.0735471431136911,1.0062779826868438,1.6659786883910987
active,3,328390,-502.25306983995347,288255.47315936326,1.0029707298342485,-1.978841113296009,0.18411556109477772,1.2901062082430936,2.7645415778186804
passive,3,329057,0.6618499188398352,1.4360859178814707,0.9891460082280901,-1.983439532834215,0.1729191582933185,1.265212691563,2.553022043061294
jiter,3,45394,0.07986447082212093,1.2123636655795635,0.592300492883856,-2.039119913508665,-1.0275653933104896,1.0204185620093245,1.7805282151083563
active,4,358723,1.023498237222041,137.49860383840425,0.9278865276851531,-2.041613997249317,0.03380353252608244,1.2739356860044333,2.8915012849232578
passive,4,359541,0.6057072222830634,1.5731672037355762,0.9108368112619115,-2.055663173934965,0.023108646961807425,1.2487316850986334,2.6474035442030095
jiter,4,65923,0.10147557892119244,1.2076852365069728,0.5713827848599486,-2.0026975177603874,-0.9950780228316585,1.0287702356431447,1.8301524968599896
active,5,382992,0.4663979356227899,155.34098318461,0.8653265834103463,-2.061357112103853,-0.02278520837869455,1.2593066973048406,2.944053611564845
passive,5,383849,0.5748272857883828,1.7308406528382407,0.8458155548975597,-2.0886713312006338,-0.033940412088687096,1.2335852550850248,2.7071626300536127
jiter,5,86999,0.12194199665569665,1.209591510288115,0.5766746303281943,-1.9854193138785843,-0.9729601795414761,1.0361268940433228,1.897704440022764
active,6,402713,1.0862120256853223,175.33265949009075,0.8140185405516214,-2.0593851406510533,-0.063928982731138,1.2441082806535804,2.9928579358509273
passive,6,403661,0.5481315732809149,1.5508204020465526,0.7926408176843261,-2.1013690626871044,-0.07812461419598477,1.2190123347995272,2.736603462674589
jiter,6,107437,0.1366227770583188,1.2182778414886988,0.5813998044457054,-1.997995374201888,-0.949327982329406,1.0417219180940127,1.9596885400880728
active,7,419025,27061963.99538446,17517766380.009354,0.7623180757531833,-2.048821068743646,-0.09667920629352444,1.2262658720290895,3.008798285525231
passive,7,419859,0.5254849297737003,1.8605761062863886,0.7416632556427495,-2.104511176393636,-0.11197065566960368,1.203152030822611,2.78945726029392
jiter,7,127887,0.13598488643907577,1.2166520847065543,0.5527671107248361,-1.995990841440148,-0.9386487435352491,1.0418815756995776,1.955352015386863
active,8,431923,3.002046127632314,1307.527616647032,0.7222118051809135,-2.044367089264019,-0.1129577790141069,1.2113299506504953,2.993030514106551
passive,8,432661,0.5188242882660544,3.7675906522015503,0.7016913995548936,-2.118762059701626,-0.1281702606840821,1.190357023851543,2.8073011297892876
jiter,8,146012,0.1366264425631985,1.2218342321561257,0.5373642382493,-2.010723526704689,-0.9309832503766677,1.0418432976318497,1.9869376526576794
active,9,443341,7257479.413198546,3761744713.149722,0.6869231240726925,-2.0012366582962473,-0.11999752410564893,1.1972460710208919,2.9911589459959878
passive,9,444040,0.5119562523862573,4.158301360771893,0.6660747487334406,-2.083705950217384,-0.13780883384933418,1.1776652988248164,2.822907079432465
