cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,499950,0.03299960887074295,0.16710895075773036,9.947598300641403e-14,-0.02045034485983769,-2.4442670110147446e-12,0.0166935287242452,0.28784824182334606
passive,2,499950,0.0017304434828329341,0.02677031298117802,5.684341886080802e-14,-0.0016050255607953144,-4.263256414560601e-14,0.0012685580726132643,0.015592185960192545
jiter,2,24718,-0.00560831527971547,0.17444277194182098,0.0014198541886822902,-0.2957268442619807,-0.015917616935030684,0.01938351923602255,0.22380387470968555
active,3,499950,0.04830386803955911,0.22182331982300457,0.0002549212256580062,-0.035087645412632186,-4.856925883700569e-08,0.02831026187351477,0.42825771218275066
passive,3,499950,0.0019484568135079198,0.03234658963366047,1.1036083884297e-05,-0.002077068347028594,-1.927491766195999e-08,0.001568488204623643,0.018140147913082008
jiter,3,45394,0.0005424997906273545,0.19472133813981596,0.00191625087382441,-0.2934150696812575,-0.0153259359866912,0.022790331079195245,0.27366396831972356
active,4,499950,0.06543528693563318,0.2777381552613983,0.0013628333305909356,-0.050171566226900215,-3.498956822056698e-07,0.041067901857712606,0.5793587864351906
passive,4,499950,0.002225018255272074,0.029043014151965744,4.802764913057257e-05,-0.002388714753045625,-5.717844495367377e-07,0.0018258851684384426,0.02091081078414049
jiter,4,65923,2.8379246120862325e-05,0.20146772556620382,0.0021632135307392275,-0.31727907761011653,-0.01647294118091981,0.026583580285068464,0.2843199887166767
active,5,499950,0.08269667160686935,0.3485845764103876,0.002960432962748242,-0.06312064916502803,-9.717548081766836e-07,0.05425342252815333,0.732627645884649
passive,5,499950,0.0025575276896035665,0.03516154152566051,9.096751266040267e-05,-0.002643055457581321,-1.7367203035689727e-06,0.002108881814898701,0.024161277216778257
jiter,5,86999,0.004690911897253288,0.2277666401241124,0.0025343434651823316,-0.32447068889036074,-0.017511452922320814,0.030212670918533767,0.3298887427111886
active,6,499950,0.09781040282046438,0.39091588941040883,0.0047108366743060515,-0.07652823921653827,-2.0895128542974817e-06,0.06740686563383916,0.8569477650401993
passive,6,499950,0.0028514611792310727,0.035451169176309034,0.00013376667939511878,-0.002952982035410942,-3.3564297865495973e-06,0.0023896768378926293,0.02749314915043149
jiter,6,107437,0.0053323533991236904,0.2493788684246041,0.002938322960449824,-0.36524830849660145,-0.018420340956419968,0.03383577942628335,0.370327429761492
active,7,499950,0.11166945414567464,0.4270468792155174,0.0066130641352586395,-0.0894667673697968,-4.736034483698859e-06,0.07998753631456262,0.9767732936015822
passive,7,499950,0.0030522796589509227,0.033525393793281344,0.00016812295146095835,-0.0032540578880424836,-4.606243452014014e-06,0.0025948467909533445,0.029820717421985964
jiter,7,127887,0.006093658655606525,0.2506223015473593,0.0031349764970656224,-0.3828872324395147,-0.01990148850272533,0.036838044671799776,0.3864540517696549
active,8,499950,0.12897648103876136,0.48092075880707075,0.00869933611655934,-0.10418713277792307,-1.026427407424535e-05,0.09415347287514006,1.1361869358626036
passive,8,499950,0.003349973371659641,0.040639857632734845,0.00020755841933148972,-0.0036086453226507943,-5.386810361329708e-06,0.00286204578243512,0.03323774202509882
jiter,8,146012,0.00579409970373912,0.27465520512779296,0.0033026849599753073,-0.41769429180187245,-0.022320355565197347,0.03981068929010334,0.4264771355333737
active,9,499950,0.14387119267409446,0.5289847056904422,0.011055440468835505,-0.11721591178961763,-9.744650736224288e-05,0.10836211882583854,1.2610731308012724
passive,9,499950,0.003648060011484441,0.04148490156289066,0.00025118215868143005,-0.003985401520300771,-7.778513692861352e-06,0.003130585707615171,0.037024155075025766
jiter,9,164844,0.007706462177471593,0.29667462825897073,0.003669919399214905,-0.4357046872470909,-0.02334579590188355,0.04412627761889144,0.46600268885363944
active,10,499950,0.15997253779754814,0.5855806185455623,0.013244105379199057,-0.1311394056196976,-0.00046801304954379613,0.12202228271691673,1.395407088107311
passive,10,499950,0.004053260727243479,0.0451851641035128,0.0002880492600912781,-0.004356134443012535,-1.1401153428204767e-05,0.00339843167493243,0.04062703273398971
jiter,10,181000,0.009034772775407346,0.3128417015777664,0.003792275684062929,-0.45748446653032787,-0.025355365951568842,0.047777538428744715,0.49497843786713913
active,11,499950,0.1731810100542849,0.6262544207760103,0.015297685889151709,-0.1431978372550323,-0.0008755633704979719,0.13410916699981165,1.5110050622919977
passive,11,499950,0.004290818666326836,0.047383380713468454,0.00030822960023851404,-0.004645850254105317,-1.675896768390305e-05,0.0035517733965325063,0.043247342998913
jiter,11,195515,0.012908215406087548,0.32862039826036826,0.0043073293778365645,-0.47919594478070804,-0.02620435020162027,0.051784948093514485,0.5303577426531296
active,12,499950,0.19034820479011305,0.677790824156156,0.017897640222716036,-0.15974308774449017,-0.0013069841694454596,0.14956401523562965,1.6628721087643088
passive,12,499950,0.00471004710298778,0.05052344665889846,0.0003636821637196084,-0.005244104099251164,-2.438387790171248e-05,0.0039641954695504985,0.04859654818718851
jiter,12,211391,0.012347852076137875,0.3550089787221392,0.004636522367118719,-0.5169590074746744,-0.028812632851651126,0.0553861010505106,0.5657731788439324
active,13,499950,0.2045794994330549,0.7160616300647027,0.02036459665617172,-0.17134314015146626,-0.001732209211762514,0.16374171692562517,1.7668419203936065
passive,13,499950,0.005042452060185749,0.04916506216858914,0.00039797955386688955,-0.0056998909863471845,-3.056710666457391e-05,0.004209141140105339,0.05196385969607664
jiter,13,226760,0.013293440373309241,0.3585773237159375,0.004805752548628232,-0.5360545489753662,-0.030842218326327497,0.05899798152572444,0.5845612185909016
active,14,499950,0.22208001718980505,0.7586620757552078,0.022600238129313048,-0.18788484022690397,-0.0022865772028796113,0.17824162680910283,1.9270893309010513
passive,14,499950,0.0053085943987974385,0.048680959476002976,0.00042736576118180625,-0.006171260759021044,-3.839932097578142e-05,0.004488244925058907,0.05460681563753689
jiter,14,238020,0.01481529032485607,0.37825366405295036,0.005042034413139676,-0.5692587756073442,-0.032823189203539556,0.06324645897998948,0.6288266969796745
active,15,499950,0.23609483432345754,0.8259960636124861,0.02531789438049001,-0.19779560685783712,-0.0027496239262134736,0.1920039457366782,2.0273023751607906
passive,15,499950,0.005721621376046739,0.05220412985844074,0.00047017288786965257,-0.006641447448304679,-4.691967688809167e-05,0.004753006182432363,0.05918016813988846
jiter,15,249657,0.015535326764958017,0.40011423858937006,0.005451495337837287,-0.5873468978541837,-0.03399341091836175,0.06637521705881966,0.6432851045409921
active,16,499950,0.25192715133033655,0.8470250028817636,0.027878951312003398,-0.21543498224083532,-0.003266081666198936,0.209242018939788,2.179288535589309
passive,16,499950,0.006141898783768453,0.05516554173072886,0.0005122808453660428,-0.0074455422170907086,-5.4720554977674444e-05,0.005132637414338705,0.06314370288079733
jiter,16,261646,0.016086313910542098,0.4020697901272476,0.00557686165444693,-0.6287889824236921,-0.037067797068929625,0.07075598690175332,0.6755169694310944
