cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,310957,1.1647378671008413,6.242762113022855,1.2998920704700792,-2.762888655462302,0.315425734891244,1.902178362733983,4.890122802063089
passive,2,311138,1.087769640419008,2.042683738924732,1.2815532509581293,-2.753683023085645,0.30282629301792907,1.8629580599572038,4.681410572183803
jiter,2,10132,-0.30976051047716513,1.6297669413235758,-0.14311651137134587,-3.6331303804817106,-1.3399411545427515,0.8778389635519349,2.4568177916655474
active,3,343218,8336.608573384241,4883000.413046288,1.1433449633367783,-2.73482542731868,0.08190120484522304,1.8083246103405823,4.575614046544596
passive,3,343489,0.935636672469036,1.9559128141695743,1.1218851182103269,-2.7255187225977116,0.07097270495562491,1.7643179340167037,4.373334891601966
jiter,3,21840,-0.19263088471351902,1.6122569728753087,-0.02793747941499214,-3.461416108705037,-1.2318736329295854,0.9211676765647884,2.5534955986268804
active,4,369089,1.0116530335890095,24.26742279797341,1.0087110643734,-2.655741634677189,-0.02817548946901403,1.7317987266798707,4.420252464509807
passive,4,369355,0.8285747186604233,5.156687440984056,0.9850950794416266,-2.657872098378842,-0.04181465831662351,1.6897406628843754,4.200318578640307
jiter,4,36134,-0.09759093378885612,1.6261422494279532,0.05911452864649601,-3.247955749225741,-1.1327041302358385,0.9597406134606737,2.6654609232977657
active,5,390812,3323.974247446691,2456952.975130156,0.9166896429983167,-2.588078901762448,-0.07985637148938016,1.681414263419403,4.297018027410457
passive,5,391185,0.7801257527623979,1.8647521043335376,0.8882847042202519,-2.6026363098013983,-0.09452202860710518,1.6399818043556422,4.080530484073259
jiter,5,52440,-0.05504776795894698,1.6177674355901126,0.09015621351923686,-3.211344818396948,-1.088469628143042,0.9838502772255897,2.7905581076397006
active,6,407762,1.5887948195785908,381.2057657231914,0.8337323770592768,-2.5272010900000654,-0.11308434690822391,1.634104536193283,4.1950669922081705
passive,6,408019,0.7384754833738287,1.97570626828522,0.8040457991535392,-2.570409011672166,-0.12991311024064595,1.592199792111355,4.006726084290964
jiter,6,69579,-0.008141069777945632,1.6023372288579478,0.1394863698828631,-3.100552643614731,-1.0309552509605324,1.0097899969519752,2.8262049889724983
active,7,422904,13700.754143072114,8892001.276761653,0.7719159462156446,-2.4751525338392564,-0.13043666684326524,1.5938454152731458,4.099112206289979
passive,7,423155,0.7042827315880632,1.9971561552859756,0.7434989467991107,-2.5205093919607147,-0.14803776020026715,1.5548517118667464,3.9413278374036844
jiter,7,86457,0.02365673297844002,1.5748220210159714,0.1529390241677413,-3.0419625816506417,-1.0061827579436398,1.0279807639048217,2.8473143433646744
active,8,434868,76.27954814597317,45925.228606557204,0.7115207439583126,-2.4146335650681343,-0.1426900715930756,1.5580572574391176,4.040811892463182
passive,8,435074,0.7009953864789586,9.254282799023573,0.6844803934460748,-2.48487126912597,-0.16127311423097487,1.5224582608119146,3.904753598935727
jiter,8,104839,0.036851470141846365,1.573962512293107,0.16480925594268683,-3.0436776621272403,-0.9799037539184181,1.0367424013379551,2.8671538658736533
active,9,445489,1066767.2773772858,686821810.3550763,0.671999464638161,-2.375665939609205,-0.1536109529844434,1.5314670359841138,4.008883625490219
passive,9,445591,0.6816605722564966,6.559398264246284,0.6429802761784522,-2.4584515635743553,-0.1738435500536856,1.4961206928700088,3.903396055994408
jiter,9,122259,0.06045349798993789,1.5802827944865483,0.17264880186337545,-3.015577229169471,-0.9545176793106955,1.050249276813668,2.917645886317677
active,10,453843,1.4191062537323453,165.5150710951633,0.6313477790368042,-2.325095399912748,-0.15542280256125235,1.5033610711804544,3.9598641703339315
passive,10,453891,0.6929665728208189,23.102640408355697,0.607975258598132,-2.4255587914343173,-0.1747610191406219,1.4730214203284884,3.891532186996632
jiter,10,137961,0.07477789688845868,1.5735840093489368,0.17751623148392037,-2.9901794268852426,-0.938259807261653,1.0609731329193737,2.936755417272175
active,11,461213,17.351179299378387,10061.054659335228,0.5994187066860772,-2.271497633320915,-0.15674062456269094,1.479011752951012,3.9318668020278116
passive,11,461193,0.6837003904657344,15.94137735649295,0.5757904243872486,-2.385083844942979,-0.17866258233449167,1.4513375616432738,3.9112036859670476
jiter,11,156575,0.09251086377020522,1.5593060379002155,0.19173992890182814,-2.9439299657082643,-0.919146780050168,1.0735595096284278,2.9562540614720096
active,12,467545,4.062655695110107,3742.015309305539,0.5723799821521114,-2.2441267288275273,-0.15653543223292898,1.4564237008904777,3.898193122045952
passive,12,467425,0.6660630203790772,4.550957547908591,0.5493251766724221,-2.3642552855943686,-0.17831503493577186,1.4336969493446508,3.9050781635274268
jiter,12,172871,0.09963736815156718,1.5678469495518865,0.19361189670330117,-2.9404873533634657,-0.9110328490557821,1.0822473759998226,2.9773991544610414
active,13,472202,4.021076481024356,1103.7262192599899,0.5517260422981638,-2.1973379531227595,-0.15289648520452334,1.432674325846975,3.84353420992999
passive,13,472056,0.6618600490026718,9.186106675194052,0.5303559377458974,-2.3418966419401976,-0.17564262895560387,1.4179837464741467,3.9004218041333845
jiter,13,187637,0.11131099389907596,1.554446718179532,0.19509774082201584,-2.905561912666987,-0.8925748726441088,1.0879546305866594,2.9884245875993005
active,14,476401,3.7657707418754067,1022.281903484524,0.5259330789396965,-2.1584614362585084,-0.15237851020079843,1.4085614237214774,3.8165583714731186
passive,14,476227,0.532465743589473,81.59929823903488,0.5053989930765894,-2.300955952861253,-0.1747741908587015,1.3965284407980028,3.911870900480249
jiter,14,201480,0.11388800117568587,1.552092890522574,0.19379113092278588,-2.8867598820230373,-0.8813575666080138,1.0855094393829843,2.9840364984019447
active,15,480364,2149546.6808593646,1489805790.8979883,0.5096052483238807,-2.116418988203718,-0.14639370403166008,1.3971902726359566,3.8050385956102977
passive,15,480177,0.6781659856492025,8.197258995896359,0.49105112343898105,-2.282722664749075,-0.16976342536326214,1.3875028978565003,3.920883349021434
jiter,15,217434,0.12173450773690382,1.5522476909080671,0.2036523760732954,-2.8724897831360647,-0.8758826886139637,1.094385048485667,2.984530758670579
active,16,482805,7.294049759698794,2742.8772870930216,0.4919015844362157,-2.084709628367217,-0.14292359426048531,1.3779785830784628,3.786559538779108
passive,16,482702,0.8665962263181543,133.26249171139588,0.47277530680546564,-2.2609024466947414,-0.16794425798817397,1.3761824863309888,3.956889534155611
jiter,16,230014,0.1270790315698245,1.5481736614110213,0.20015395260569144,-2.872611738000321,-0.8676177134938422,1.0955377560749717,2.993526844752402
