cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,499950,0.03228493917026333,0.17647477727797742,1.7053025658242404e-13,-0.021147381270724498,-9.36140054363932e-12,0.015215924853708693,0.2844262901144885
passive,2,499950,0.0017157874446577033,0.03636585606100777,8.526512829121202e-14,-0.00174940420488891,-4.263256414560601e-14,0.0010896850666382019,0.015579213359167569
jiter,2,10132,-0.016010996194574145,0.15671020477365968,-0.00033600359069378585,-0.2646234959319897,-0.016395638907582916,0.007248883614350223,0.13227567640477803
active,3,499950,0.04915302897517203,0.24861967728818207,0.00043077786768463966,-0.03527610917638485,-7.088305409297391e-08,0.026425675041110357,0.4301122242524939
passive,3,499950,0.0020657914039994337,0.04165211108731728,2.2199546969851338e-05,-0.0023193564669719948,-6.822612874657352e-08,0.0014506743562699986,0.018439272947249414
jiter,3,21840,-0.011512593377024968,0.1517102344372813,-4.2479780916506154e-05,-0.25450840034752603,-0.014702858357608354,0.009175853266346137,0.14571863437217372
active,4,499950,0.06310889222432509,0.3125489017517103,0.0011145619823268783,-0.04814942686302485,-5.21704606626372e-07,0.03723577625664527,0.5576079989477832
passive,4,499950,0.00222947513907338,0.03955821324002987,4.630865038635079e-05,-0.002670437856122662,-9.371160096804942e-07,0.00167249120914148,0.020387586788617594
jiter,4,36134,-0.008053968170430281,0.15659337687741795,0.00010511729907962918,-0.23738633770179762,-0.013367521753294144,0.01080058934330097,0.1689482508007464
active,5,499950,0.08015776376909778,0.34844662533057297,0.002102464087926838,-0.06195478532435157,-1.56138704809905e-06,0.049824526964097254,0.7066032127866109
passive,5,499950,0.002606927221227587,0.04167645382605193,7.795976035220244e-05,-0.0031554987167801843,-2.761437893905594e-06,0.002037732965664045,0.02370821380832209
jiter,5,52440,-0.008611416870526302,0.15896917462755009,0.0002099502515526526,-0.25430984345688323,-0.013620958933903846,0.012047966828469491,0.17587450535007307
active,6,499950,0.09427868776178787,0.4017935374962025,0.0031788538202590644,-0.07376559057866403,-3.8013468355302393e-06,0.060852710729719206,0.8288638866920094
passive,6,499950,0.002859440998879574,0.043875129617039266,0.00010668362089649719,-0.0035025054102016547,-4.418289931806262e-06,0.0022586016743272328,0.02610243565454391
jiter,6,69579,-0.006006323853673437,0.16432811011032686,0.00038737086407255455,-0.257352165505576,-0.013557840780582881,0.013891287638036154,0.1948299485057439
active,7,499950,0.10838805697110464,0.4479565016450484,0.004475840491500976,-0.08741882946614271,-9.509647572514268e-06,0.07372916079208136,0.9547778848214216
passive,7,499950,0.00317824232355389,0.0468428321965637,0.00014146622541188258,-0.0039265263240862505,-5.380231534957147e-06,0.002586137477947517,0.029250619981280746
jiter,7,86457,-0.005360339238722485,0.16804239253579034,0.0004792024408295976,-0.2622904029523183,-0.013863709074445056,0.015397308558454503,0.20591270213832324
active,8,499950,0.11999136608097784,0.47439493843888614,0.0056343571051371555,-0.10005447462052497,-0.00011607914272058313,0.08348388079628837,1.0608251842928376
passive,8,499950,0.003473593275128845,0.05089704753104843,0.00016723313589502877,-0.0044187862383657205,-8.241574349199254e-06,0.002834872193936026,0.032333362920887045
jiter,8,104839,-0.0044223388310159996,0.16892477927242816,0.0005848125265899284,-0.2654345059996687,-0.014689886492562976,0.017076774097254582,0.2179143835867032
active,9,499950,0.13505272670560822,0.5224208091627099,0.007007072969901798,-0.11079953694929134,-0.0004314662827031003,0.09552108277782936,1.1793825119660413
passive,9,499950,0.0038341790224459423,0.05784022177096235,0.00020357040043159818,-0.004843629884577932,-1.3979124184590856e-05,0.0031360778352274724,0.03582506552000283
