cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,301216,1.6945197191961863,14.566219829791716,1.442595625901045,-4.384708570797022,0.14730931014776172,2.6447504604177747,9.633835852866731
passive,2,301692,1.5743032617557373,3.8819084124350476,1.4145293372205394,-4.393621610176728,0.13320525300390004,2.5752669904177132,9.245556268942945
jiter,2,8546,-0.3946007421641253,1.685798317347978,-0.23532326272151977,-3.8929856995252803,-1.2684009090370725,0.7584881517244829,2.126362668029049
active,3,338351,1.4526581148837272,32.32475964343584,1.2356964786768807,-3.8942433713869984,-0.04490358891612315,2.4023772963838406,8.213419863809143
passive,3,338871,1.3078241375610724,3.26105843240734,1.2037996233019397,-3.9126674274595232,-0.05680801543937483,2.3302691317541817,7.8423461237410725
jiter,3,18675,-0.28863137977597936,1.7189710076180853,-0.16021841122225575,-3.80195132252754,-1.1756295897322062,0.8070025308671228,2.5576273991407827
active,4,367058,1.475170178093815,46.73118265503538,1.0921815828352095,-3.6275906416744603,-0.12379079460212056,2.253928347307509,7.431662691790632
passive,4,367802,1.1511008419821331,2.922877148073804,1.0571033063984898,-3.677814951404804,-0.13810371816437636,2.176753404633225,7.07272210871118
jiter,4,31793,-0.20119586744622314,1.7044874060191761,-0.08926199415611813,-3.727206341325903,-1.1100653191498038,0.864692993477571,2.716312262289655
active,5,389617,-346.1976819321058,217034.09339072855,0.9706914537670635,-3.3936060260189413,-0.16206744860016062,2.140334758894685,6.979438947942413
passive,5,390590,1.0524669789541294,2.904806194740152,0.9349804652492573,-3.4559006995789283,-0.1786566869152117,2.0600450234725804,6.598083567501119
jiter,5,47037,-0.11599724035101507,1.7129047662876467,-0.017394512734632363,-3.5284234094483202,-1.0560446462436557,0.9106421779476723,2.861554675802182
active,6,407754,0.9982054121013547,477.05404906808445,0.8819459844867682,-3.276479217498051,-0.18986469188821387,2.0638996086749506,6.6785147372049245
passive,6,408648,0.9854621947671015,2.680221925247443,0.8479717457908493,-3.3653755689826452,-0.20812588801582774,1.9874619961279012,6.3633536146667025
jiter,6,61610,-0.08117396464981078,1.7131961057298222,0.003154867567337602,-3.5149732133819547,-1.024131968108513,0.9352862989428615,2.9727950901136446
active,7,423274,9466680.029239252,5832370962.554937,0.7977387962170386,-3.174065985020768,-0.20219269073979967,1.9822643612097415,6.427327723643728
passive,7,424386,0.9316034230655331,3.938378890939436,0.7629944056066321,-3.282171205981553,-0.22175664106658405,1.9018486775126424,6.111434590133127
jiter,7,78863,-0.041490868960676636,1.715052148689933,0.042308855031211325,-3.4396560192600285,-0.9931163465060961,0.956711445619284,3.064844084756264
