cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,2,499950,0.03200623455162462,0.20641752548877193,9.947598300641403e-14,-0.02658573507034685,-2.3682780181388807e-09,0.011030941742801715,0.3002637281895211
passive,2,499950,0.0017395466104417013,0.030836346811318513,5.684341886080802e-14,-0.002245427274856727,-5.684341886080802e-14,0.0008384779823116205,0.01822164398245
jiter,2,8546,-0.016286041516788505,0.12494412028952688,-0.0007081140382495521,-0.25356256915454,-0.016445783096693534,0.005220586332085775,0.11423108067960067
active,3,499950,0.04842525196024938,0.2787756351129902,1.8931025458357453e-05,-0.04352148538698881,-2.2357272300155273e-07,0.020742608958394665,0.45138099724631003
passive,3,499950,0.002087941842198666,0.033353516419326774,4.946632990006578e-07,-0.002895740272254023,-3.0695659347657056e-07,0.0011987512667607338,0.021255947298334597
jiter,3,18675,-0.01379092947566008,0.1412191522949341,-0.0005146017470281095,-0.2390259078887627,-0.0146130457581411,0.006251290578706962,0.1291217578295236
active,4,499950,0.06267630617556295,0.3477196537285266,0.0005834853576417848,-0.05991867575569485,-9.399762106454546e-07,0.03126410028849236,0.5771880882362805
passive,4,499950,0.0022601530919290173,0.03684179847225013,2.2865917208333402e-05,-0.003282320445416387,-1.7782858634518561e-06,0.0014649755951787686,0.023164972561431307
jiter,4,31793,-0.011292944619238753,0.13518007401690152,-0.0002202816673797514,-0.25340646780699966,-0.014215061515203659,0.00800041865413137,0.14834935783915076
active,5,499950,0.07584624320538448,0.3621937850561561,0.0013807854073926039,-0.0740283073563446,-2.882052932307033e-06,0.041750601215646554,0.701433900193303
passive,5,499950,0.0026533754173416455,0.043757429836435595,5.2723238684401924e-05,-0.003936705539512047,-4.1116347055947244e-06,0.0018524022262565742,0.0275472662497735
jiter,5,47037,-0.009471605741146088,0.1349561461976785,-3.216672045702751e-05,-0.2373765365041833,-0.014219074525458453,0.009622393628474692,0.15989440308529793
active,6,499950,0.08984575876794706,0.41205415134070017,0.0023110151667324885,-0.09206306954928527,-8.058644624497902e-06,0.05371800482604367,0.8233746556334409
passive,6,499950,0.002859439402678952,0.040740370561586775,7.899277420399866e-05,-0.004337120292069893,-5.1371766221688575e-06,0.0020809711695221134,0.029841778816451697
jiter,6,61610,-0.007705456023890881,0.1482825588399856,6.9307693813496895e-06,-0.25576105064898214,-0.014379472082049372,0.011335334291562305,0.18974758620431653
active,7,499950,0.10348908788890533,0.4609599088548913,0.00332224051113883,-0.10650129065027784,-0.00013970577695078204,0.06423804361537433,0.9529700025841072
passive,7,499950,0.0031973326333323347,0.04868477018194236,0.0001104857206332892,-0.005061465537568794,-8.695201241941213e-06,0.002412205996116033,0.03404288139108658
jiter,7,78863,-0.007886116160674885,0.15834697657000968,0.00010617570045212688,-0.2690205695345658,-0.015017543405910425,0.012762255073081263,0.1966995654209777
active,8,499950,0.1163753094214514,0.5121774355896063,0.004523721720874086,-0.11824204291594333,-0.00045030994597714105,0.07581050299537329,1.0605819124772513
passive,8,499950,0.0035686428155291766,0.05198002876136695,0.00014527606538041626,-0.005555283660659942,-1.6288019112131735e-05,0.0027489173348109307,0.037904908734878735
