block_time,fee_schedule,fee_schedule_label,cohort,cohort_label,n,mean,std,median_delta_lvr,median_delta_lvr_x1e3,p2_5,p25,p75,p97_5,source
2,static,Static,active,Active LPs,25919950,0.0126338133662631,0.1273110925645983,9.094947017729282e-13,9.094947017729282e-10,-0.0270752970204141,-3.1595845939591527e-09,0.0044230763200781,0.1388701557261887,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
2,static,Static,passive,Passive LPs,25919950,0.0015984504197073,0.0766987659008264,2.273736754432321e-13,2.273736754432321e-10,-0.0065486632377393,-1.1368683772161605e-13,0.0008886231828579,0.0221740166631752,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
2,static,Static,jiter,Jiter,288,-0.095326967303141,0.138740674143106,-0.0371806540341011,-37.180654034101096,-0.52269366913797,-0.1067232374113576,-0.012921577351895,-0.0010956547754746,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
2,toxicity,Toxicity,active,Active LPs,6367450,0.0325774940489388,0.1656435653936966,9.947598300641405e-14,9.947598300641405e-11,-0.0204518095033014,-3.637978807091713e-12,0.0163261482998393,0.286635668403906,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,toxicity,Toxicity,passive,Passive LPs,6367450,0.0016692805477191,0.0258918697810766,5.684341886080803e-14,5.684341886080803e-11,-0.0015918296730845,-4.263256414560601e-14,0.0012161549107457,0.0151690426408471,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,toxicity,Toxicity,jiter,Jiter,318289,-0.0035244508459136,0.1708481018941066,0.0015582264327438,1.5582264327438,-0.2765143803707047,-0.0148695179406788,0.019255663459333,0.2263615759247257,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_cex,Volatility (CEX),active,Active LPs,6367450,0.0298449767869792,0.175420582064457,3.410605131648481e-13,3.410605131648481e-10,-0.0207580544373211,-7.73070496506989e-12,0.0141784479354049,0.2615761706249491,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_cex,Volatility (CEX),passive,Passive LPs,6367450,0.0016695163122412,0.0371901119543461,8.526512829121202e-14,8.526512829121202e-11,-0.0018198543157325,-4.263256414560601e-14,0.0010782865373954,0.0152013425359029,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_cex,Volatility (CEX),jiter,Jiter,137183,-0.0155696608062562,0.1347297889596083,-0.0003881649856829,-0.38816498568290003,-0.2566393753937386,-0.0161436477769001,0.0070232799717957,0.125538593995936,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_dex,Volatility (DEX),active,Active LPs,6367450,0.0264824281135489,0.1758889302853303,2.273736754432321e-13,2.273736754432321e-10,-0.0251385837416256,-1.812480832086294e-09,0.0095704566532281,0.2548868217146356,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_dex,Volatility (DEX),passive,Passive LPs,6367450,0.0016689898838785,0.0386186187008733,4.263256414560601e-14,4.263256414560601e-11,-0.0024579293994358,-5.684341886080803e-14,0.0008429186660882,0.0181159247326646,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
2,volatility_dex,Volatility (DEX),jiter,Jiter,126059,-0.0151669162091421,0.1263233644746048,-0.000833157560106,-0.8331575601060001,-0.2455012871111457,-0.0157278398386289,0.0049089748499007,0.1143352795209958,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,static,Static,active,Active LPs,25919950,0.0136532857500596,0.1428512134542021,0.0001529147521992,0.15291475219919998,-0.0465014210318384,-2.668228660240857e-07,0.006098265470257,0.1636931210523297,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
3,static,Static,passive,Passive LPs,25919950,0.0019088306899578,0.1014589782504186,5.222338398105338e-05,0.052223383981053376,-0.0167565902832811,-3.2212139018383823e-06,0.0015224158902561,0.0346845341311697,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
3,static,Static,jiter,Jiter,757,-0.0914225347045258,0.1684780746347478,-0.0329587141759825,-32.9587141759825,-0.5560619967059702,-0.096390636393549,-0.0092676299886515,-0.0002038939919414,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
3,toxicity,Toxicity,active,Active LPs,6367450,0.0500399276334211,0.2353115322029084,0.0002333240152125,0.23332401521249999,-0.0354671853743627,-5.2317908227905725e-08,0.0288038204636629,0.4393608175042667,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,toxicity,Toxicity,passive,Passive LPs,6367450,0.0019627873314074,0.0294730210940596,9.65855879205652e-06,0.00965855879205652,-0.002043535800485,-2.1754832602027815e-08,0.0015591674082392,0.0180419448385214,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,toxicity,Toxicity,jiter,Jiter,566203,-0.0009632371708992,0.19703670785544,0.0018783436175592,1.8783436175591999,-0.2975783074747911,-0.0156252632581328,0.022801512151135,0.2648799000833609,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),active,Active LPs,6367450,0.0427072366074397,0.2253154310124996,0.0003493185761361,0.34931857613609996,-0.034179535473107,-7.492300824196718e-08,0.0231639626059537,0.3763384814754754,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),passive,Passive LPs,6367450,0.0019863799982708,0.0406120343269859,1.9943708384317915e-05,0.019943708384317915,-0.0024984887148832,-9.530167943694325e-08,0.001422979444425,0.0180811176383923,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),jiter,Jiter,305819,-0.0121518537539836,0.1415179875583016,-9.084069638414308e-05,-0.09084069638414308,-0.2451761165131977,-0.0143215371601073,0.0083390662030799,0.1383146204418004,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),active,Active LPs,6367450,0.0368573840026723,0.2220596532787805,4.547473508864641e-13,4.547473508864641e-10,-0.0396766599224683,-1.651062149221616e-07,0.0165125235956935,0.3489852870288775,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),passive,Passive LPs,6367450,0.0019967458476414,0.04216204503237,8.526512829121202e-14,8.526512829121202e-11,-0.0032918124823851,-3.6784172863235653e-07,0.0012208767220149,0.0215413347811562,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),jiter,Jiter,294150,-0.0131893206490783,0.1263631169481311,-0.0004573764146602,-0.4573764146602,-0.2376149122462971,-0.0143877320301395,0.0061015999328035,0.1242261311630655,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,static,Static,active,Active LPs,25919950,0.013980992296593,0.154579301784493,0.0002634278667709,0.2634278667709,-0.0655675163894188,-0.0001211384213555,0.0071054132301226,0.1836203742567526,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
4,static,Static,passive,Passive LPs,25919950,0.0022449971095452,0.1231018322284812,0.0001157042523853,0.1157042523853,-0.0370968325362586,-6.05120184588604e-05,0.0022808645319864,0.0558667156482397,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
4,static,Static,jiter,Jiter,1575,-0.0956431446355603,0.1975917620303023,-0.0338519762429222,-33.851976242922206,-0.5615148847241799,-0.100096781163367,-0.0084606397125377,-0.0002094996163913,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
4,toxicity,Toxicity,active,Active LPs,6367450,0.0669339630202446,0.2891482681180603,0.0014592859095003,1.4592859095003,-0.0497553380536655,-3.38768092689179e-07,0.0420262131704428,0.5877108596120537,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,toxicity,Toxicity,passive,Passive LPs,6367450,0.0022426815785217,0.0309856060500779,5.080109541454311e-05,0.05080109541454311,-0.0023543291796812,-5.254406403309986e-07,0.0018456321746579,0.0209035643571629,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,toxicity,Toxicity,jiter,Jiter,829993,0.0012077402085322,0.2176531521551913,0.0022789858015732,2.2789858015732,-0.3173861815584892,-0.0164961822927138,0.026532248312197,0.2994722251167092,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_cex,Volatility (CEX),active,Active LPs,6367450,0.0551435336549683,0.2735082795114691,0.0009789423703396,0.9789423703396,-0.0468984808936543,-4.684692669343349e-07,0.0326319915268709,0.4883989304865618,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_cex,Volatility (CEX),passive,Passive LPs,6367450,0.0022765274097538,0.0449511279150536,4.82702979270814e-05,0.0482702979270814,-0.0030102867409251,-1.0489310291461609e-06,0.0017336142110489,0.02089106048459,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_cex,Volatility (CEX),jiter,Jiter,513967,-0.009270430388342,0.1406064322219988,5.5717774230856776e-05,0.055717774230856776,-0.2365804380111079,-0.0134879671737197,0.0099698570843572,0.1533540089927668,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_dex,Volatility (DEX),active,Active LPs,6367450,0.0454475041215021,0.2550794708832112,0.0003575444013026,0.3575444013026,-0.052941587478242,-7.643129720236175e-07,0.0233993380628286,0.4288662726717284,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_dex,Volatility (DEX),passive,Passive LPs,6367450,0.0023162895587023,0.0455593203727183,2.046815465576801e-05,0.02046815465576801,-0.0040624473505018,-2.2660107283911657e-06,0.0015849631811495,0.0251967411243859,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
4,volatility_dex,Volatility (DEX),jiter,Jiter,511997,-0.0111404463692971,0.1338865693647711,-0.000228506519619,-0.22850651961899998,-0.2373632643620486,-0.0137979216652475,0.0074783657864916,0.1396200110079055,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
